time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:55:37.355Z,3307,6041,23042,4460,8185,25447,4107,5009,17450,5990,10089,28927,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.395Z,3300,6028,23024,4463,8186,25450,4122,5014,17504,6056,10195,29141,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.435Z,3296,6015,23011,4467,8183,25448,4132,5015,17558,6127,10299,29359,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.476Z,3293,6002,22984,4475,8184,25445,4149,5030,17650,6275,10530,29765,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.516Z,3294,5994,22963,4484,8189,25449,4167,5051,17723,6413,10750,30102,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.556Z,3302,5999,22977,4487,8193,25461,4163,5059,17701,6406,10740,30015,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.596Z,3321,6026,23053,4478,8189,25479,4119,5027,17524,6140,10310,29200,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.636Z,3353,6074,23187,4460,8177,25497,4035,4948,17198,5627,9468,27708,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.676Z,3374,6114,23292,4443,8170,25501,3965,4881,16929,5194,8757,26516,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.716Z,3357,6114,23273,4437,8176,25490,3962,4891,16948,5212,8805,26689,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.756Z,3322,6081,23167,4445,8187,25476,4006,4955,17183,5580,9439,27844,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.796Z,3306,6051,23080,4459,8194,25470,4053,5004,17379,5893,9963,28755,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.836Z,3314,6041,23055,4471,8197,25471,4090,5010,17436,5970,10069,28934,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.876Z,3322,6038,23058,4477,8199,25477,4118,5004,17454,5968,10041,28883,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.916Z,3316,6027,23042,4479,8199,25481,4137,5014,17539,6073,10211,29174,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.956Z,3301,6013,23005,4482,8199,25476,4146,5040,17664,6251,10521,29709,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:37.996Z,3294,6013,22988,4483,8201,25467,4145,5061,17716,6335,10671,29950,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.036Z,3305,6036,23035,4477,8202,25468,4128,5048,17595,6177,10399,29423,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.076Z,3332,6082,23162,4460,8193,25482,4082,4981,17280,5730,9627,28005,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.116Z,3362,6127,23300,4441,8179,25496,4024,4900,16944,5228,8771,26474,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.156Z,3368,6132,23327,4433,8171,25495,4003,4877,16868,5091,8546,26133,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.196Z,3349,6091,23228,4442,8174,25479,4033,4927,17088,5391,9073,27153,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.236Z,3330,6044,23111,4458,8182,25466,4074,4989,17351,5784,9762,28399,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.276Z,3320,6023,23046,4471,8188,25460,4105,5023,17487,6033,10183,29103,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.316Z,3313,6018,23009,4479,8192,25456,4144,5039,17565,6224,10476,29554,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.356Z,3305,6014,22970,4486,8198,25452,4187,5057,17659,6420,10776,30039,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.396Z,3303,6010,22946,4490,8204,25450,4205,5070,17729,6514,10928,30315,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.436Z,3312,6008,22948,4492,8207,25451,4196,5072,17737,6478,10872,30257,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.476Z,3326,6012,22992,4487,8203,25457,4167,5054,17645,6299,10575,29748,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.516Z,3346,6037,23098,4472,8193,25472,4108,4998,17397,5900,9910,28552,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.556Z,3369,6083,23227,4452,8188,25489,4042,4919,17085,5424,9108,27122,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.596Z,3374,6115,23285,4439,8193,25497,4019,4879,16953,5233,8778,26562,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.636Z,3352,6110,23235,4440,8203,25491,4044,4913,17088,5439,9129,27216,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.676Z,3323,6085,23143,4448,8209,25478,4083,4985,17311,5775,9709,28247,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.716Z,3304,6064,23077,4453,8209,25465,4114,5038,17444,5981,10070,28870,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.756Z,3293,6046,23037,4455,8204,25450,4138,5057,17509,6086,10249,29177,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.796Z,3283,6024,22992,4460,8201,25436,4164,5060,17598,6232,10485,29592,Fair,Fast,2.5mm,Experiment_1
