time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:50:04.917Z,3283,6000,22943,4478,8198,25451,4191,5084,17821,6459,10828,30267,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.957Z,3279,5993,22906,4485,8204,25455,4209,5103,17899,6599,11047,30624,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:04.997Z,3276,5982,22898,4486,8204,25465,4222,5125,17932,6645,11131,30724,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.037Z,3276,5974,22914,4484,8201,25477,4225,5139,17943,6633,11128,30698,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.077Z,3286,5979,22952,4483,8202,25485,4205,5127,17907,6536,10982,30448,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.117Z,3311,6008,23031,4479,8201,25491,4153,5076,17736,6244,10502,29594,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.157Z,3348,6061,23167,4464,8194,25499,4085,4992,17391,5725,9626,28003,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.197Z,3377,6116,23308,4442,8190,25509,4025,4912,17024,5213,8748,26418,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.237Z,3378,6134,23344,4429,8196,25505,4008,4888,16894,5069,8488,25999,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.277Z,3354,6107,23248,4434,8207,25487,4040,4932,17074,5364,8974,26950,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.317Z,3328,6067,23110,4452,8215,25473,4091,5005,17385,5808,9724,28344,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.357Z,3318,6047,23025,4472,8220,25473,4128,5056,17619,6090,10222,29241,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.397Z,3323,6049,23007,4485,8220,25480,4142,5067,17695,6134,10320,29418,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.437Z,3325,6051,23015,4484,8216,25481,4138,5059,17669,6075,10220,29265,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.477Z,3317,6044,23014,4477,8211,25477,4133,5065,17667,6099,10245,29317,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.517Z,3304,6026,22989,4477,8206,25478,4146,5097,17749,6263,10512,29743,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.557Z,3297,6006,22953,4484,8204,25483,4164,5131,17866,6456,10849,30266,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.597Z,3294,5993,22925,4490,8206,25484,4174,5156,17944,6568,11057,30587,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.637Z,3294,5996,22920,4490,8210,25484,4187,5167,17949,6573,11069,30596,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.677Z,3304,6014,22956,4486,8213,25487,4195,5140,17841,6419,10798,30119,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.717Z,3328,6050,23058,4474,8207,25493,4158,5063,17577,6021,10121,28922,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.757Z,3354,6099,23192,4455,8194,25499,4081,4972,17231,5494,9238,27362,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.797Z,3362,6126,23268,4443,8180,25501,4025,4929,17029,5198,8760,26520,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.837Z,3347,6104,23232,4450,8170,25502,4030,4948,17112,5345,9030,26998,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.877Z,3320,6060,23132,4465,8174,25502,4075,4997,17361,5738,9699,28186,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.918Z,3298,6030,23046,4473,8188,25496,4117,5043,17582,6064,10239,29155,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.958Z,3288,6023,23001,4470,8201,25482,4136,5068,17685,6199,10459,29555,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:05.998Z,3288,6026,22982,4467,8213,25474,4141,5071,17706,6231,10508,29653,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.038Z,3292,6020,22956,4474,8221,25468,4156,5073,17747,6337,10669,29924,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.078Z,3295,6000,22917,4489,8219,25462,4181,5088,17842,6528,10966,30403,Fair,Medium,2.5mm,Experiment_2
