ts,user_id,device_id,source,x,y,z,time_s
2026-03-13 16:59:39.863000+00:00,0,0,0,-3534,1408,-1594,21.01
2026-03-13 16:59:39.902000+00:00,0,0,0,-3577,1380,-1588,21.049
2026-03-13 16:59:39.941000+00:00,0,0,0,-3562,1313,-1630,21.088
2026-03-13 16:59:39.979000+00:00,0,0,0,-3514,1303,-1712,21.126
2026-03-13 16:59:40.018000+00:00,0,0,0,-3554,1346,-1734,21.165
2026-03-13 16:59:40.057000+00:00,0,0,0,-3567,1370,-1630,21.204
2026-03-13 16:59:40.095000+00:00,0,0,0,-3550,1377,-1543,21.242
2026-03-13 16:59:40.134000+00:00,0,0,0,-3580,1353,-1552,21.281
2026-03-13 16:59:40.173000+00:00,0,0,0,-3538,1335,-1663,21.32
2026-03-13 16:59:40.211000+00:00,0,0,0,-3543,1344,-1748,21.358
2026-03-13 16:59:40.250000+00:00,0,0,0,-3534,1356,-1708,21.397
2026-03-13 16:59:40.289000+00:00,0,0,0,-3556,1364,-1604,21.436
2026-03-13 16:59:40.327000+00:00,0,0,0,-3570,1347,-1547,21.474
2026-03-13 16:59:40.366000+00:00,0,0,0,-3536,1374,-1614,21.513
2026-03-13 16:59:40.405000+00:00,0,0,0,-3560,1380,-1680,21.552
2026-03-13 16:59:40.444000+00:00,0,0,0,-3561,1361,-1697,21.591
2026-03-13 16:59:40.483000+00:00,0,0,0,-3538,1322,-1655,21.63
2026-03-13 16:59:40.521000+00:00,0,0,0,-3547,1332,-1625,21.668
2026-03-13 16:59:40.560000+00:00,0,0,0,-3556,1327,-1637,21.707
2026-03-13 16:59:40.598000+00:00,0,0,0,-3562,1343,-1664,21.745
2026-03-13 16:59:40.637000+00:00,0,0,0,-3557,1342,-1663,21.784
2026-03-13 16:59:40.676000+00:00,0,0,0,-3557,1332,-1631,21.823
2026-03-13 16:59:40.714000+00:00,0,0,0,-3548,1327,-1624,21.861
2026-03-13 16:59:40.753000+00:00,0,0,0,-3549,1333,-1644,21.9
2026-03-13 16:59:40.792000+00:00,0,0,0,-3561,1360,-1660,21.939
2026-03-13 16:59:40.837000+00:00,0,0,0,-3552,1362,-1657,21.984
2026-03-13 16:59:40.869000+00:00,0,0,0,-3560,1354,-1639,22.016
2026-03-13 16:59:40.908000+00:00,0,0,0,-3557,1315,-1639,22.055
2026-03-13 16:59:40.947000+00:00,0,0,0,-3552,1304,-1662,22.094
2026-03-13 16:59:40.985000+00:00,0,0,0,-3553,1312,-1654,22.132
2026-03-13 16:59:41.024000+00:00,0,0,0,-3561,1326,-1644,22.171
2026-03-13 16:59:41.063000+00:00,0,0,0,-3554,1347,-1630,22.21
2026-03-13 16:59:41.102000+00:00,0,0,0,-3565,1358,-1633,22.249
2026-03-13 16:59:41.140000+00:00,0,0,0,-3553,1349,-1646,22.287
2026-03-13 16:59:41.179000+00:00,0,0,0,-3557,1333,-1650,22.326
2026-03-13 16:59:41.218000+00:00,0,0,0,-3550,1331,-1664,22.365
2026-03-13 16:59:41.256000+00:00,0,0,0,-3552,1328,-1657,22.403
